,Date,VS,Winner,Scoreline,Series Type,Map,Player,Agent,R,ACS,K,D,A,KD +/-,KAST,ADR,HS%,FK,FD,FKFD +/-,R_all,R_attack,R_defend,ACS_all,ACS_attack,ACS_defend,K_all,K_attack,K_defend,D_all,D_attack,D_defend,A_all,A_attack,A_defend,KD +/-_all,KD +/-_attack,KD +/-_defend,KAST_all,KAST_attack,KAST_defend,ADR_all,ADR_attack,ADR_defend,HS%_all,HS%_attack,HS%_defend,FK_all,FK_attack,FK_defend,FD_all,FD_attack,FD_defend,FKFD +/-_all,FKFD +/-_attack,FKFD +/-_defend,Team
0,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,mindfreak ,-,"1.34
1.24
1.45","216
217
216","20
11
9","13
6
7","10
3
7","+7
+5
+2","83%
83%
82%","129
133
124","35%
42%
27%","3
1
2","0
0
0","+3
+1
+2",1.34,1.24,1.45,216,217,216,20,11,9,13,6,7,10,3,7,+7,+5,+2,83%,83%,82%,129,133,124,35%,42%,27%,3,1,2,0,0,0,+3,+1,+2,Paper Rex
1,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,Jinggg ,-,"1.28
1.46
1.10","318
338
297","26
15
11","17
7
10","3
2
1","+9
+8
+1","83%
100%
64%","189
192
185","17%
12%
28%","7
5
2","1
0
1","+6
+5
+1",1.28,1.46,1.10,318,338,297,26,15,11,17,7,10,3,2,1,+9,+8,+1,83%,100%,64%,189,192,185,17%,12%,28%,7,5,2,1,0,1,+6,+5,+1,Paper Rex
2,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,f0rsakeN ,-,"1.26
1.77
0.70","248
348
140","20
15
5","16
6
10","6
5
1","+4
+9
-5","78%
83%
73%","155
217
87","24%
19%
45%","5
3
2","3
2
1","+2
+1
+1",1.26,1.77,0.70,248,348,140,20,15,5,16,6,10,6,5,1,+4,+9,-5,78%,83%,73%,155,217,87,24%,19%,45%,5,3,2,3,2,1,+2,+1,+1,Paper Rex
3,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,d4v41 ,-,"1.07
1.15
0.97","163
127
204","13
6
7","14
5
9","7
4
3","-1
+1
-2","70%
67%
73%","118
83
157","28%
23%
32%","2
0
2","1
1
0","+1
-1
+2",1.07,1.15,0.97,163,127,204,13,6,7,14,5,9,7,4,3,-1,+1,-2,70%,67%,73%,118,83,157,28%,23%,32%,2,0,2,1,1,0,+1,-1,+2,Paper Rex
4,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,cgrs ,-,"0.71
0.80
0.61","107
82
137","6
2
4","16
7
9","15
9
6","-10
-5
-5","78%
92%
64%","67
50
85","19%
17%
20%","0
0
0","1
0
1","-1
0
-1",0.71,0.80,0.61,107,82,137,6,2,4,16,7,9,15,9,6,-10,-5,-5,78%,92%,64%,67,50,85,19%,17%,20%,0,0,0,1,0,1,-1,0,-1,Paper Rex
5,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,MaKo ,-,"1.05
1.37
0.75","240
300
186","19
12
7","17
7
10","6
3
3","+2
+5
-3","74%
82%
67%","164
193
138","44%
52%
35%","1
1
0","4
1
3","-3
0
-3",1.05,1.37,0.75,240,300,186,19,12,7,17,7,10,6,3,3,+2,+5,-3,74%,82%,67%,164,193,138,44%,52%,35%,1,1,0,4,1,3,-3,0,-3,DRX
6,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,Rb ,-,"0.95
1.26
0.66","237
343
141","21
15
6","17
8
9","0
0
0","+4
+7
-3","57%
73%
42%","152
209
101","26%
33%
16%","1
0
1","5
3
2","-4
-3
-1",0.95,1.26,0.66,237,343,141,21,15,6,17,8,9,0,0,0,+4,+7,-3,57%,73%,42%,152,209,101,26%,33%,16%,1,0,1,5,3,2,-4,-3,-1,DRX
7,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,BuZz ,-,"0.85
0.69
0.99","237
239
237","18
9
9","19
9
10","1
0
1","-1
0
-1","74%
73%
75%","150
151
149","19%
36%
11%","3
2
1","5
3
2","-2
-1
-1",0.85,0.69,0.99,237,239,237,18,9,9,19,9,10,1,0,1,-1,0,-1,74%,73%,75%,150,151,149,19%,36%,11%,3,2,1,5,3,2,-2,-1,-1,DRX
8,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,Zest ,-,"0.80
0.88
0.74","109
71
145","8
3
5","14
5
9","14
8
6","-6
-2
-4","74%
73%
75%","62
28
92","26%
33%
24%","0
0
0","2
0
2","-2
0
-2",0.80,0.88,0.74,109,71,145,8,3,5,14,5,9,14,8,6,-6,-2,-4,74%,73%,75%,62,28,92,26%,33%,24%,0,0,0,2,0,2,-2,0,-2,DRX
9,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,All Maps,stax ,-,"0.72
0.92
0.54","128
147
111","10
6
4","18
7
11","8
5
3","-8
-1
-7","57%
64%
50%","87
103
73","28%
35%
20%","1
0
1","1
1
0","0
-1
+1",0.72,0.92,0.54,128,147,111,10,6,4,18,7,11,8,5,3,-8,-1,-7,57%,64%,50%,87,103,73,28%,35%,20%,1,0,1,1,1,0,0,-1,+1,DRX
10,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,mindfreak ,Astra,"1.34
1.24
1.45","216
217
216","20
11
9","13
6
7","10
3
7","+7
+5
+2","83%
83%
82%","129
133
124","35%
42%
27%","3
1
2","0
0
0","+3
+1
+2",1.34,1.24,1.45,216,217,216,20,11,9,13,6,7,10,3,7,+7,+5,+2,83%,83%,82%,129,133,124,35%,42%,27%,3,1,2,0,0,0,+3,+1,+2,Paper Rex
11,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,Jinggg ,Raze,"1.28
1.46
1.10","318
338
297","26
15
11","17
7
10","3
2
1","+9
+8
+1","83%
100%
64%","189
192
185","17%
12%
28%","7
5
2","1
0
1","+6
+5
+1",1.28,1.46,1.10,318,338,297,26,15,11,17,7,10,3,2,1,+9,+8,+1,83%,100%,64%,189,192,185,17%,12%,28%,7,5,2,1,0,1,+6,+5,+1,Paper Rex
12,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,f0rsakeN ,Jett,"1.26
1.77
0.70","248
348
140","20
15
5","16
6
10","6
5
1","+4
+9
-5","78%
83%
73%","155
217
87","24%
19%
45%","5
3
2","3
2
1","+2
+1
+1",1.26,1.77,0.70,248,348,140,20,15,5,16,6,10,6,5,1,+4,+9,-5,78%,83%,73%,155,217,87,24%,19%,45%,5,3,2,3,2,1,+2,+1,+1,Paper Rex
13,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,d4v41 ,Viper,"1.07
1.15
0.97","163
127
204","13
6
7","14
5
9","7
4
3","-1
+1
-2","70%
67%
73%","118
83
157","28%
23%
32%","2
0
2","1
1
0","+1
-1
+2",1.07,1.15,0.97,163,127,204,13,6,7,14,5,9,7,4,3,-1,+1,-2,70%,67%,73%,118,83,157,28%,23%,32%,2,0,2,1,1,0,+1,-1,+2,Paper Rex
14,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,cgrs ,Skye,"0.71
0.80
0.61","107
82
137","6
2
4","16
7
9","15
9
6","-10
-5
-5","78%
92%
64%","67
50
85","19%
17%
20%","0
0
0","1
0
1","-1
0
-1",0.71,0.80,0.61,107,82,137,6,2,4,16,7,9,15,9,6,-10,-5,-5,78%,92%,64%,67,50,85,19%,17%,20%,0,0,0,1,0,1,-1,0,-1,Paper Rex
15,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,MaKo ,Viper,"1.05
1.37
0.75","240
300
186","19
12
7","17
7
10","6
3
3","+2
+5
-3","74%
82%
67%","164
193
138","44%
52%
35%","1
1
0","4
1
3","-3
0
-3",1.05,1.37,0.75,240,300,186,19,12,7,17,7,10,6,3,3,+2,+5,-3,74%,82%,67%,164,193,138,44%,52%,35%,1,1,0,4,1,3,-3,0,-3,DRX
16,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,Rb ,Neon,"0.95
1.26
0.66","237
343
141","21
15
6","17
8
9","0
0
0","+4
+7
-3","57%
73%
42%","152
209
101","26%
33%
16%","1
0
1","5
3
2","-4
-3
-1",0.95,1.26,0.66,237,343,141,21,15,6,17,8,9,0,0,0,+4,+7,-3,57%,73%,42%,152,209,101,26%,33%,16%,1,0,1,5,3,2,-4,-3,-1,DRX
17,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,BuZz ,Raze,"0.85
0.69
0.99","237
239
237","18
9
9","19
9
10","1
0
1","-1
0
-1","74%
73%
75%","150
151
149","19%
36%
11%","3
2
1","5
3
2","-2
-1
-1",0.85,0.69,0.99,237,239,237,18,9,9,19,9,10,1,0,1,-1,0,-1,74%,73%,75%,150,151,149,19%,36%,11%,3,2,1,5,3,2,-2,-1,-1,DRX
18,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,Zest ,Astra,"0.80
0.88
0.74","109
71
145","8
3
5","14
5
9","14
8
6","-6
-2
-4","74%
73%
75%","62
28
92","26%
33%
24%","0
0
0","2
0
2","-2
0
-2",0.80,0.88,0.74,109,71,145,8,3,5,14,5,9,14,8,6,-6,-2,-4,74%,73%,75%,62,28,92,26%,33%,24%,0,0,0,2,0,2,-2,0,-2,DRX
19,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,1 Split,stax ,Skye,"0.72
0.92
0.54","128
147
111","10
6
4","18
7
11","8
5
3","-8
-1
-7","57%
64%
50%","87
103
73","28%
35%
20%","1
0
1","1
1
0","0
-1
+1",0.72,0.92,0.54,128,147,111,10,6,4,18,7,11,8,5,3,-8,-1,-7,57%,64%,50%,87,103,73,28%,35%,20%,1,0,1,1,1,0,0,-1,+1,DRX
20,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,mindfreak ,Astra,"1.34
1.24
1.45","216
217
216","20
11
9","13
6
7","10
3
7","+7
+5
+2","83%
83%
82%","129
133
124","35%
42%
27%","3
1
2","0
0
0","+3
+1
+2",1.34,1.24,1.45,216,217,216,20,11,9,13,6,7,10,3,7,+7,+5,+2,83%,83%,82%,129,133,124,35%,42%,27%,3,1,2,0,0,0,+3,+1,+2,Paper Rex
21,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,Jinggg ,Raze,"1.28
1.46
1.10","318
338
297","26
15
11","17
7
10","3
2
1","+9
+8
+1","83%
100%
64%","189
192
185","17%
12%
28%","7
5
2","1
0
1","+6
+5
+1",1.28,1.46,1.10,318,338,297,26,15,11,17,7,10,3,2,1,+9,+8,+1,83%,100%,64%,189,192,185,17%,12%,28%,7,5,2,1,0,1,+6,+5,+1,Paper Rex
22,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,f0rsakeN ,Jett,"1.26
1.77
0.70","248
348
140","20
15
5","16
6
10","6
5
1","+4
+9
-5","78%
83%
73%","155
217
87","24%
19%
45%","5
3
2","3
2
1","+2
+1
+1",1.26,1.77,0.70,248,348,140,20,15,5,16,6,10,6,5,1,+4,+9,-5,78%,83%,73%,155,217,87,24%,19%,45%,5,3,2,3,2,1,+2,+1,+1,Paper Rex
23,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,d4v41 ,Viper,"1.07
1.15
0.97","163
127
204","13
6
7","14
5
9","7
4
3","-1
+1
-2","70%
67%
73%","118
83
157","28%
23%
32%","2
0
2","1
1
0","+1
-1
+2",1.07,1.15,0.97,163,127,204,13,6,7,14,5,9,7,4,3,-1,+1,-2,70%,67%,73%,118,83,157,28%,23%,32%,2,0,2,1,1,0,+1,-1,+2,Paper Rex
24,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,cgrs ,Skye,"0.71
0.80
0.61","107
82
137","6
2
4","16
7
9","15
9
6","-10
-5
-5","78%
92%
64%","67
50
85","19%
17%
20%","0
0
0","1
0
1","-1
0
-1",0.71,0.80,0.61,107,82,137,6,2,4,16,7,9,15,9,6,-10,-5,-5,78%,92%,64%,67,50,85,19%,17%,20%,0,0,0,1,0,1,-1,0,-1,Paper Rex
25,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,MaKo ,Viper,"1.05
1.37
0.75","240
300
186","19
12
7","17
7
10","6
3
3","+2
+5
-3","74%
82%
67%","164
193
138","44%
52%
35%","1
1
0","4
1
3","-3
0
-3",1.05,1.37,0.75,240,300,186,19,12,7,17,7,10,6,3,3,+2,+5,-3,74%,82%,67%,164,193,138,44%,52%,35%,1,1,0,4,1,3,-3,0,-3,DRX
26,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,Rb ,Neon,"0.95
1.26
0.66","237
343
141","21
15
6","17
8
9","0
0
0","+4
+7
-3","57%
73%
42%","152
209
101","26%
33%
16%","1
0
1","5
3
2","-4
-3
-1",0.95,1.26,0.66,237,343,141,21,15,6,17,8,9,0,0,0,+4,+7,-3,57%,73%,42%,152,209,101,26%,33%,16%,1,0,1,5,3,2,-4,-3,-1,DRX
27,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,BuZz ,Raze,"0.85
0.69
0.99","237
239
237","18
9
9","19
9
10","1
0
1","-1
0
-1","74%
73%
75%","150
151
149","19%
36%
11%","3
2
1","5
3
2","-2
-1
-1",0.85,0.69,0.99,237,239,237,18,9,9,19,9,10,1,0,1,-1,0,-1,74%,73%,75%,150,151,149,19%,36%,11%,3,2,1,5,3,2,-2,-1,-1,DRX
28,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,Zest ,Astra,"0.80
0.88
0.74","109
71
145","8
3
5","14
5
9","14
8
6","-6
-2
-4","74%
73%
75%","62
28
92","26%
33%
24%","0
0
0","2
0
2","-2
0
-2",0.80,0.88,0.74,109,71,145,8,3,5,14,5,9,14,8,6,-6,-2,-4,74%,73%,75%,62,28,92,26%,33%,24%,0,0,0,2,0,2,-2,0,-2,DRX
29,2023-06-17 01:30:00,"Paper Rex
DRX",Paper Rex,2:0,BO3,2 Bind,stax ,Skye,"0.72
0.92
0.54","128
147
111","10
6
4","18
7
11","8
5
3","-8
-1
-7","57%
64%
50%","87
103
73","28%
35%
20%","1
0
1","1
1
0","0
-1
+1",0.72,0.92,0.54,128,147,111,10,6,4,18,7,11,8,5,3,-8,-1,-7,57%,64%,50%,87,103,73,28%,35%,20%,1,0,1,1,1,0,0,-1,+1,DRX
30,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,Leo ,-,"1.53
1.34
1.69","240
195
279","20
8
12","8
4
4","6
4
2","+12
+4
+8","95%
90%
100%","154
119
182","24%
21%
26%","2
1
1","0
0
0","+2
+1
+1",1.53,1.34,1.69,240,195,279,20,8,12,8,4,4,6,4,2,+12,+4,+8,95%,90%,100%,154,119,182,24%,21%,26%,2,1,1,0,0,0,+2,+1,+1,FNATIC
31,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,Alfajer ,-,"1.31
1.56
1.10","193
198
189","18
9
9","10
3
7","3
0
3","+8
+6
+2","86%
90%
83%","134
122
144","34%
45%
26%","3
1
2","2
0
2","+1
+1
0",1.31,1.56,1.10,193,198,189,18,9,9,10,3,7,3,0,3,+8,+6,+2,86%,90%,83%,134,122,144,34%,45%,26%,3,1,2,2,0,2,+1,+1,0,FNATIC
32,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,Chronicle ,-,"1.10
1.42
0.84","207
276
150","17
10
7","15
6
9","13
6
7","+2
+4
-2","82%
90%
75%","125
162
95","20%
20%
20%","1
0
1","2
1
1","-1
-1
0",1.10,1.42,0.84,207,276,150,17,10,7,15,6,9,13,6,7,+2,+4,-2,82%,90%,75%,125,162,95,20%,20%,20%,1,0,1,2,1,1,-1,-1,0,FNATIC
33,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,Boaster ,-,"0.97
1.19
0.78","211
264
167","15
8
7","15
7
8","9
4
5","0
+1
-1","82%
90%
75%","115
149
86","16%
14%
18%","4
3
1","0
0
0","+4
+3
+1",0.97,1.19,0.78,211,264,167,15,8,7,15,7,8,9,4,5,0,+1,-1,82%,90%,75%,115,149,86,16%,14%,18%,4,3,1,0,0,0,+4,+3,+1,FNATIC
34,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,Derke ,-,"0.79
0.75
0.82","180
170
190","13
6
7","16
7
9","3
1
2","-3
-1
-2","64%
50%
75%","120
107
130","23%
25%
22%","4
1
3","4
3
1","0
-2
+2",0.79,0.75,0.82,180,170,190,13,6,7,16,7,9,3,1,2,-3,-1,-2,64%,50%,75%,120,107,130,23%,25%,22%,4,1,3,4,3,1,0,-2,+2,FNATIC
35,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,s0m ,-,"1.23
1.65
0.73","266
305
220","21
14
7","16
7
9","7
6
1","+5
+7
-2","73%
83%
60%","155
180
125","20%
20%
19%","3
2
1","1
0
1","+2
+2
0",1.23,1.65,0.73,266,305,220,21,14,7,16,7,9,7,6,1,+5,+7,-2,73%,83%,60%,155,180,125,20%,20%,19%,3,2,1,1,0,1,+2,+2,0,NRG Esports
36,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,ardiis ,-,"0.83
0.80
0.86","180
171
191","12
6
6","17
9
8","3
1
2","-5
-3
-2","64%
67%
60%","128
127
130","18%
25%
11%","3
1
2","4
2
2","-1
-1
0",0.83,0.80,0.86,180,171,191,12,6,6,17,9,8,3,1,2,-5,-3,-2,64%,67%,60%,128,127,130,18%,25%,11%,3,1,2,4,2,2,-1,-1,0,NRG Esports
37,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,Victor ,-,"0.79
0.97
0.58","159
189
125","12
8
4","15
7
8","2
0
2","-3
+1
-4","68%
67%
70%","106
128
80","20%
37%
5%","1
0
1","5
4
1","-4
-4
0",0.79,0.97,0.58,159,189,125,12,8,4,15,7,8,2,0,2,-3,+1,-4,68%,67%,70%,106,128,80,20%,37%,5%,1,0,1,5,4,1,-4,-4,0,NRG Esports
38,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,crashies ,-,"0.78
0.83
0.73","141
143
140","11
6
5","17
9
8","1
0
1","-6
-3
-3","59%
75%
40%","95
88
104","33%
25%
44%","1
1
0","3
1
2","-2
0
-2",0.78,0.83,0.73,141,143,140,11,6,5,17,9,8,1,0,1,-6,-3,-3,59%,75%,40%,95,88,104,33%,25%,44%,1,1,0,3,1,2,-2,0,-2,NRG Esports
39,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,All Maps,FiNESSE ,-,"0.60
0.53
0.68","109
82
143","8
3
5","18
10
8","5
4
1","-10
-7
-3","68%
67%
70%","80
67
97","12%
16%
8%","0
0
0","1
1
0","-1
-1
0",0.60,0.53,0.68,109,82,143,8,3,5,18,10,8,5,4,1,-10,-7,-3,68%,67%,70%,80,67,97,12%,16%,8%,0,0,0,1,1,0,-1,-1,0,NRG Esports
40,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,Leo ,Fade,"1.53
1.34
1.69","240
195
279","20
8
12","8
4
4","6
4
2","+12
+4
+8","95%
90%
100%","154
119
182","24%
21%
26%","2
1
1","0
0
0","+2
+1
+1",1.53,1.34,1.69,240,195,279,20,8,12,8,4,4,6,4,2,+12,+4,+8,95%,90%,100%,154,119,182,24%,21%,26%,2,1,1,0,0,0,+2,+1,+1,FNATIC
41,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,Alfajer ,Killjoy,"1.31
1.56
1.10","193
198
189","18
9
9","10
3
7","3
0
3","+8
+6
+2","86%
90%
83%","134
122
144","34%
45%
26%","3
1
2","2
0
2","+1
+1
0",1.31,1.56,1.10,193,198,189,18,9,9,10,3,7,3,0,3,+8,+6,+2,86%,90%,83%,134,122,144,34%,45%,26%,3,1,2,2,0,2,+1,+1,0,FNATIC
42,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,Chronicle ,Breach,"1.10
1.42
0.84","207
276
150","17
10
7","15
6
9","13
6
7","+2
+4
-2","82%
90%
75%","125
162
95","20%
20%
20%","1
0
1","2
1
1","-1
-1
0",1.10,1.42,0.84,207,276,150,17,10,7,15,6,9,13,6,7,+2,+4,-2,82%,90%,75%,125,162,95,20%,20%,20%,1,0,1,2,1,1,-1,-1,0,FNATIC
43,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,Boaster ,Brimstone,"0.97
1.19
0.78","211
264
167","15
8
7","15
7
8","9
4
5","0
+1
-1","82%
90%
75%","115
149
86","16%
14%
18%","4
3
1","0
0
0","+4
+3
+1",0.97,1.19,0.78,211,264,167,15,8,7,15,7,8,9,4,5,0,+1,-1,82%,90%,75%,115,149,86,16%,14%,18%,4,3,1,0,0,0,+4,+3,+1,FNATIC
44,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,Derke ,Raze,"0.79
0.75
0.82","180
170
190","13
6
7","16
7
9","3
1
2","-3
-1
-2","64%
50%
75%","120
107
130","23%
25%
22%","4
1
3","4
3
1","0
-2
+2",0.79,0.75,0.82,180,170,190,13,6,7,16,7,9,3,1,2,-3,-1,-2,64%,50%,75%,120,107,130,23%,25%,22%,4,1,3,4,3,1,0,-2,+2,FNATIC
45,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,s0m ,Brimstone,"1.23
1.65
0.73","266
305
220","21
14
7","16
7
9","7
6
1","+5
+7
-2","73%
83%
60%","155
180
125","20%
20%
19%","3
2
1","1
0
1","+2
+2
0",1.23,1.65,0.73,266,305,220,21,14,7,16,7,9,7,6,1,+5,+7,-2,73%,83%,60%,155,180,125,20%,20%,19%,3,2,1,1,0,1,+2,+2,0,NRG Esports
46,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,ardiis ,Killjoy,"0.83
0.80
0.86","180
171
191","12
6
6","17
9
8","3
1
2","-5
-3
-2","64%
67%
60%","128
127
130","18%
25%
11%","3
1
2","4
2
2","-1
-1
0",0.83,0.80,0.86,180,171,191,12,6,6,17,9,8,3,1,2,-5,-3,-2,64%,67%,60%,128,127,130,18%,25%,11%,3,1,2,4,2,2,-1,-1,0,NRG Esports
47,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,Victor ,Raze,"0.79
0.97
0.58","159
189
125","12
8
4","15
7
8","2
0
2","-3
+1
-4","68%
67%
70%","106
128
80","20%
37%
5%","1
0
1","5
4
1","-4
-4
0",0.79,0.97,0.58,159,189,125,12,8,4,15,7,8,2,0,2,-3,+1,-4,68%,67%,70%,106,128,80,20%,37%,5%,1,0,1,5,4,1,-4,-4,0,NRG Esports
48,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,crashies ,Sova,"0.78
0.83
0.73","141
143
140","11
6
5","17
9
8","1
0
1","-6
-3
-3","59%
75%
40%","95
88
104","33%
25%
44%","1
1
0","3
1
2","-2
0
-2",0.78,0.83,0.73,141,143,140,11,6,5,17,9,8,1,0,1,-6,-3,-3,59%,75%,40%,95,88,104,33%,25%,44%,1,1,0,3,1,2,-2,0,-2,NRG Esports
49,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,1 Fracture,FiNESSE ,Breach,"0.60
0.53
0.68","109
82
143","8
3
5","18
10
8","5
4
1","-10
-7
-3","68%
67%
70%","80
67
97","12%
16%
8%","0
0
0","1
1
0","-1
-1
0",0.60,0.53,0.68,109,82,143,8,3,5,18,10,8,5,4,1,-10,-7,-3,68%,67%,70%,80,67,97,12%,16%,8%,0,0,0,1,1,0,-1,-1,0,NRG Esports
50,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,2 Bind,Leo ,Fade,"1.53
1.34
1.69","240
195
279","20
8
12","8
4
4","6
4
2","+12
+4
+8","95%
90%
100%","154
119
182","24%
21%
26%","2
1
1","0
0
0","+2
+1
+1",1.53,1.34,1.69,240,195,279,20,8,12,8,4,4,6,4,2,+12,+4,+8,95%,90%,100%,154,119,182,24%,21%,26%,2,1,1,0,0,0,+2,+1,+1,FNATIC
51,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,2 Bind,Alfajer ,Killjoy,"1.31
1.56
1.10","193
198
189","18
9
9","10
3
7","3
0
3","+8
+6
+2","86%
90%
83%","134
122
144","34%
45%
26%","3
1
2","2
0
2","+1
+1
0",1.31,1.56,1.10,193,198,189,18,9,9,10,3,7,3,0,3,+8,+6,+2,86%,90%,83%,134,122,144,34%,45%,26%,3,1,2,2,0,2,+1,+1,0,FNATIC
52,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,2 Bind,Chronicle ,Breach,"1.10
1.42
0.84","207
276
150","17
10
7","15
6
9","13
6
7","+2
+4
-2","82%
90%
75%","125
162
95","20%
20%
20%","1
0
1","2
1
1","-1
-1
0",1.10,1.42,0.84,207,276,150,17,10,7,15,6,9,13,6,7,+2,+4,-2,82%,90%,75%,125,162,95,20%,20%,20%,1,0,1,2,1,1,-1,-1,0,FNATIC
53,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,2 Bind,Boaster ,Brimstone,"0.97
1.19
0.78","211
264
167","15
8
7","15
7
8","9
4
5","0
+1
-1","82%
90%
75%","115
149
86","16%
14%
18%","4
3
1","0
0
0","+4
+3
+1",0.97,1.19,0.78,211,264,167,15,8,7,15,7,8,9,4,5,0,+1,-1,82%,90%,75%,115,149,86,16%,14%,18%,4,3,1,0,0,0,+4,+3,+1,FNATIC
54,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,2 Bind,Derke ,Raze,"0.79
0.75
0.82","180
170
190","13
6
7","16
7
9","3
1
2","-3
-1
-2","64%
50%
75%","120
107
130","23%
25%
22%","4
1
3","4
3
1","0
-2
+2",0.79,0.75,0.82,180,170,190,13,6,7,16,7,9,3,1,2,-3,-1,-2,64%,50%,75%,120,107,130,23%,25%,22%,4,1,3,4,3,1,0,-2,+2,FNATIC
55,2023-06-16 23:00:00,"FNATIC
NRG Esports",FNATIC,2:0,BO3,2 Bind,s0m ,Brimstone,"1.23
1.65
0.73","266
305
220","21
14
7","16
7
9","7
6
1","+5
+7
-2","73%
83%
60%","155
180
125","20%
20%
19%","3
2
1","1
0
1","+2
+2
0",1.23,1.65,0.73,266,305,220,21,14,7,16,7,9,7,6,1,+5,+7,-2,73%,83%,60%,155,180,125,20%,20%,19%,3,2,1,1,0,1,+2,+2,0,NRG Esports
